Record as mm/dd/yy,Record as military time in hh:mm. ex: 7 am is 07:00 and 7 pm is 19:00, Drop down list provided,Type same name as variety as well as date no space. Date goes yy/mm/dd So example SharkShock181210.,Record the Status of the Harvest Sample (Active or Complete),Enter your badge number, Record without % and two decimal places. So 15.32% is just 15.32 and 0 is 0.00. Variance is 10- or + actual reading.  10% is = to 0 variance,Record without % and two decimal places. So 46.32% is just 46.32 and 0 is 0.00.,Record the # of days in the dry room as of the sample date.,if N/A just record as 0.,Always with two decimal places and no g. So 1 g is recorded as 1.00. or .5 g is 0.50,Always with two decimal places and no g. So 1 g is recorded as 1.00. or .5 g is 0.50,Record in celsius,Record in seconds,Always with two decimal places and no g. So 1 g is recorded as 1.00. or .5 g is 0.50,"If there is an issue, select the issue category ",Select the issue type within the category,Record any necessary notes or comments
DATE,TIME ,VARIETY,HARVEST BATCH ID,Moisture Status,EMPLOYEE BADGE #,VARIANCE FROM TARGET ,MOISTURE ,DAYS IN DRY ,DAYS IN CURE ,STARTING WEIGHT ,ENDING WEIGHT ,TESTING TEMP ,TESTING DURATION,WASTE WEIGHT ,ISSUE CATEGORY ,ISSUE TYPE ,Notes/Comments 
1/31/2019,8:10,Jilly Bean,JillyBean190129,Active,470,39.49,49.49,2,0,1.79,0.88,120,16:19,1.79,None,,
1/31/2019,8:32,Cosmic Glue,CosmicGlue190129,Active,470,45.85,55.85,2,0,1.61,0.61,120,15:23,1.61,None,,
1/31/2019,8:49,Space Candy,SpaceCandy190129,Active,470,40,50,2,0,1.67,0.7,120,13:39,1.67,None,,
1/31/2019,9:06,Lemon Skunk,LemonSkunk190129,Active,470,16.32,26.32,2,0,1.31,0.83,120,9:58,1.31,None,,
1/31/2019,9:18,Pennywise,Pennywise190128,Active,470,9.12,19.12,3,0,1.15,0.85,120,8:57,1.15,None,,
1/31/2019,9:28,Jilly Bean,JillyBean190128,Active,470,4.11,14.11,3,0,1.09,0.89,120,7:35,1.09,None,,
1/31/2019,9:38,Chem OG,ChemOG190128,Active,470,24.3,34.3,3,0,1.39,0.83,120,11:33,1.39,None,,
1/31/2019,9:51,Locomotion #6,Locomotion#6190128,Active,470,16.48,26.48,3,0,1.34,0.91,120,10:21,1.34,None,,
1/31/2019,10:03,Shark Shock,SharkShock190128,Active,470,13.01,23.01,3,0,1.63,1.03,120,9:25,1.63,None,,
1/31/2019,10:14,Northern Lights,NorthernLights190128,Active,470,22.61,32.61,3,0,1.52,0.87,120,11:13,1.52,None,,
1/31/2019,10:27,ACDC,ACDC190128,Active,470,6.29,16.29,3,0,1.39,0.88,120,6:38,1.39,None,,
1/31/2019,10:57,Jesus OG,JesusOG190129 ,Active,470,34.91,44.91,2,0,1.5,0.8,120,16:34,1.5,None,,Pink - CONTROL
1/31/2019,11:15,Jesus OG,JesusOG190129 ,Active,470,37.62,47.62,2,0,1.44,0.71,120,15:21,1.44,None,,Blue - TRABIN
1/31/2019,11:31,Jesus OG,JesusOG190129 ,Active,470,31.9,41.9,2,0,1.53,0.75,120,12:55,1.53,None,,Orange - SPORE 
1/31/2019,11:44,Jesus OG,JesusOG190129 ,Active,470,30.19,40.19,2,0,1.75,0.89,120,13:31,1.75,None,,Yellow - TRIFECTA
2/4/2019,8:18,ACDC,ACDC190128,Active,470,-0.42,9.58,7,0,1.02,0.87,120,5:41,1.02,None,,
2/4/2019,8:24,Northern Lights,NorthernLights190128,Active,470,-1.39,8.61,7,0,1.43,1.19,120,5:58,1.43,None,,
2/4/2019,8:32,Shark Shock,SharkShock190128,Active,470,-0.14,9.86,7,0,0.97,0.85,120,4:43,0.97,None,,
2/4/2019,8:38,Chem OG,ChemOG190128,Active,470,-0.76,9.24,7,0,1.25,1.13,120,7:42,1.25,None,,
2/4/2019,8:48,Locomotion #6,Locomotion#6190128,Active,470,4.37,14.37,7,0,1.11,0.89,120,7:51,1.11,None,,
2/4/2019,8:58,Jilly Bean,JillyBean190128,Active,470,0.32,10.32,7,0,0.93,0.77,120,5:14,0.93,None,,
2/4/2019,9:04,Pennywise,Pennywise190128,Active,470,2.29,12.29,7,0,1.42,1.05,120,7:28,1.42,None,,
2/4/2019,9:20,Lemon Skunk,LemonSkunk190129,Active,470,1.58,11.58,6,0,1.47,1.31,120,18:12,1.47,None,,
2/4/2019,9:39,Jilly Bean,JillyBean190129,Active,470,0.57,10.57,6,0,1.41,1.26,120,9:07,1.41,None,,
2/4/2019,9:50,Cosmic Glue,CosmicGlue190129,Active,470,1.82,11.82,6,0,1.31,1.15,120,8:56,1.31,None,,
2/4/2019,9:59,Space Candy,SpaceCandy190129,Active,470,-1.06,8.94,6,0,1.39,1.28,120,7:59,1.39,None,,
2/4/2019,10:12,Jesus OG,JesusOG190129 ,Active,470,0.85,10.85,6,0,1.55,1.38,120,7:39,1.55,None,,Pink - CONTROL
2/4/2019,10:24,Jesus OG,JesusOG190129 ,Active,470,1.21,11.21,6,0,1.46,1.29,120,7:29,1.46,None,,Blue - TRABIN
2/4/2019,10:38,Jesus OG,JesusOG190129 ,Active,470,1.54,11.54,6,0,1.67,1.51,120,8:40,1.67,None,,Orange - SPORE
2/4/2019,10:52,Jesus OG,JesusOG190129 ,Active,470,2.36,12.36,6,0,1.35,1.19,120,8:52,1.35,None,,Yellow - TRIFECTA
2/5/2019,9:33,Jilly Bean,JillyBean190128,Active,470,-0.02,9.98,8,0,0.89,0.79,120,6:59,0.89,None,,
2/5/2019,9:40,Jesus OG,JesusOG190129 ,Active,470,0.45,10.45,7,0,1.24,1.07,120,8:52,1.24,None,,Pink - CONTROL
2/5/2019,9:51,Jilly Bean,JillyBean190129,Active,470,0.62,10.62,7,0,1.47,1.29,120,10:52,1.47,None,,
2/6/2019,7:37,Locomotion #6,Locomotion#6190128,Active,470,-0.32,9.68,9,0,1.69,1.54,120,11:44,1.69,None,,
2/6/2019,7:50,Pennywise,Pennywise190128,Active,470,-0.25,9.75,9,0,1.45,1.24,120,6:07,1.45,None,,
2/6/2019,7:59,Jilly Bean,JillyBean190128,Active,470,-0.43,9.57,9,0,1.39,1.25,120,8:55,1.39,None,,
2/6/2019,8:10,Lemon Skunk,LemonSkunk190129,Active,470,-0.8,9.1,8,0,1.57,1.31,120,7:26,1.57,None,,
2/6/2019,8:19,Jesus OG,JesusOG190129 ,Active,470,-0.92,9.08,8,0,1.88,1.35,120,7:52,1.48,None,,Pink - CONTROL
2/6/2019,8:28,Jesus OG,JesusOG190129 ,Active,470,-0.87,9.13,8,0,1.87,1.34,120,6:30,1.47,None,,Blue - TRABIN
2/6/2019,8:36,Jesus OG,JesusOG190129 ,Active,470,-0.69,9.31,8,0,1.76,1.24,120,7:02,1.36,None,,Orange - SPORE
2/6/2019,8:44,Jesus OG,JesusOG190129 ,Active,470,-0.31,9.69,8,0,1.75,1.23,120,7:00,1.35,None,,Yellow - TRIFECTA
2/6/2019,8:54,Cosmic Glue,CosmicGlue190129,Active,470,-1.69,8.31,8,0,1.55,1.43,120,6:59,1.55,None,,
2/6/2019,9:03,Jilly Bean,JillyBean190129,Active,470,-1.13,8.87,8,0,1.52,1.35,120,5:45,1.52,None,,
2/6/2019,9:10,Space Candy,SpaceCandy190129,Active,470,0.42,10.42,6,2,1.23,1.11,120,7:31,1.23,None,,
2/6/2019,9:21,Chem OG,ChemOG190128,Active,470,-0.68,9.32,7,2,1.53,1.39,120,7:52,1.53,None,,
2/6/2019,9:31,Shark Shock,SharkShock190128,Active,470,0.14,10.14,7,2,1.62,1.46,120,7:38,1.62,None,,
2/6/2019,12:51,Northern Lights,NorthernLights190128,Active,470,-0.82,9.18,7,2,1.68,1.48,120,8:03,1.68,None,,
2/6/2019,13:00,ACDC,ACDC190128,Active,470,-0.64,9.36,7,2,1.63,1.43,120,7:22,1.63,None,,
2/6/2019,13:28,ACDC,ACDC190204,Active,470,31.98,41.98,2,0,1.77,0.92,120,18:43,1.77,None,,
2/6/2019,13:50,Shark Shock,SharkShock190204,Active,470,42.4,52.4,2,0,1.51,0.71,120,18:04,1.51,None,,
2/6/2019,14:08,Locomotion #1,Locomotion#1190204,Active,470,31.79,41.79,2,0,1.61,0.67,120,14:07,1.61,None,,
2/6/2019,14:24,Chem OG,ChemOG190204,Active,470,21.94,31.94,2,0,1.47,0.71,120,9:34,1.47,None,,
2/6/2019,14:37,Purple Apollo,PurpleApollo190205,Active,470,45.13,55.13,1,0,1.33,0.53,120,16:43,1.33,None,,
2/8/2019,13:10,Lemon Skunk,LemonSkunk190129,Active,470,0.55,10.55,10,0,1.56,1.19,120,10:33,1.56,None,,
2/8/2019,13:23,Jesus OG,JesusOG190129 ,Active,470,-0.43,9.57,10,0,1.67,1.41,120,8:13,1.67,None,,Pink - CONTROL
2/8/2019,13:33,Pennywise,Pennywise190128,Active,470,0.04,10.04,11,0,1.51,1.31,120,8:00,1.51,None,,
2/8/2019,13:41,Jilly Bean,JillyBean190128,Active,470,1.47,11.47,11,0,1.63,1.33,120,8:18,1.63,None,,
2/8/2019,13:51,Jilly Bean,JillyBean190129,Active,470,0.13,10.13,10,0,1.45,1.27,120,6:20,1.45,None,,
2/8/2019,14:00,Jesus OG,JesusOG190129 ,Active,470,-1.14,8.86,10,0,1.27,1.13,120,7:15,1.27,None,,Blue - TRABIN
2/8/2019,14:10,Jesus OG,JesusOG190129 ,Active,470,-0.86,9.14,10,0,1.41,1.21,120,6:30,1.41,None,,Orange - SPORE
2/8/2019,14:19,Jesus OG,JesusOG190129 ,Active,470,0.79,10.79,10,0,1.67,1.49,120,9:57,1.67,None,,Yellow - TRIFECTA
2/9/2019,10:54,Jilly Bean,JillyBean190128,Active,470,-0.89,9.11,12,0,1.54,1.38,120,9:23,1.54,None,,
2/9/2019,11:06,Pennywise,Pennywise190128,Active,470,0.54,10.54,12,0,1.27,1.16,120,10:12,1.27,None,,
2/9/2019,11:19,ACDC,ACDC190128,Active,470,-0.08,9.92,7,5,1.41,1.19,120,6:30,1.41,None,,
2/9/2019,11:26,Locomotion #6,Locomotion#6190128,Active,470,-0.25,9.75,12,0,1.39,1.24,120,6:19,1.39,None,,
2/9/2019,11:34,Jilly Bean,JillyBean190129,Active,470,-0.47,9.53,11,0,1.79,1.69,120,9:56,1.79,None,,
2/9/2019,11:46,Cosmic Glue,CosmicGlue190129,Active,470,-0.86,9.14,11,0,1.68,1.54,120,7:50,1.68,None,,
2/9/2019,11:55,Lemon Skunk,LemonSkunk190129,Active,470,-0.64,9.36,11,0,1.43,1.22,120,6:25,1.43,None,,
2/9/2019,12:04,ACDC,ACDC190204,Active,470,3.01,13.01,5,0,1.63,1.21,120,8:33,1.63,None,,
2/9/2019,12:14,Locomotion #1,Locomotion#1190204,Active,470,5,15,5,0,1.42,1.21,120,9:46,1.42,None,,
2/9/2019,12:25,Shark Shock,SharkShock190204,Active,470,12.82,22.82,5,0,1.77,1.42,120,15:29,1.77,None,,
2/9/2019,12:42,Chem OG,ChemOG190204,Active,470,9.94,19.94,5,0,1.51,1.08,120,11:56,1.51,None,,
2/9/2019,12:55,Purple Apollo,PurpleApollo190205,Active,470,9.7,19.7,4,0,1.72,1.32,120,13:10,1.72,None,,
2/12/2019,8:13,Lemon Skunk,LemonSkunk190129,Active,470,-2.88,7.12,14,0,1.59,1.49,120,7:54,1.59,None,,
2/12/2019,8:23,Jesus OG,JesusOG190129 ,Active,470,-2.46,7.54,14,0,1.63,1.52,120,8:08,1.63,None,,Pink - CONTROL
2/12/2019,8:32,Jilly Bean,JillyBean190129,Active,470,-1.77,8.23,14,0,1.38,1.26,120,7:24,1.38,None,,
2/12/2019,8:41,Locomotion #6,Locomotion#6190128,Active,470,-1.46,8.54,15,0,1.65,1.52,120,7:56,1.65,None,,
2/12/2019,8:50,Pennywise,Pennywise190128,Active,470,-0.66,9.34,15,0,1.26,1.11,120,7:05,1.26,None,,
2/12/2019,8:59,Chem OG,ChemOG190204,Active,470,-1.65,8.35,8,0,1.27,1.16,120,6:28,1.27,None,,
2/12/2019,9:08,Shark Shock,SharkShock190204,Active,470,-0.33,9.67,8,0,1.45,1.22,120,9:02,1.45,None,,
2/12/2019,9:18,ACDC,ACDC190204,Active,470,-0.56,9.44,8,0,1.57,1.37,120,6:14,1.57,None,,
2/12/2019,9:28,Locomotion #1,Locomotion#1190204,Active,470,0.44,10.44,8,0,1.59,1.52,120,8:31,1.59,,,
2/12/2019,9:41,Purple Apollo,PurpleApollo190205,Active,470,-0.42,9.58,7,0,1.47,1.33,120,8:28,1.47,,,
2/12/2019,9:51,Locomotion #6,Locomotion#6190211,Active,470,53.69,63.69,1,0,1.66,0.61,120,21:57,1.66,,,
2/12/2019,10:23,Guice,Guice190211,Active,470,57.71,67.71,1,0,1.28,0.38,120,19:00,1.28,,,
2/12/2019,,Chernobyl,Chernobyl190211,Active,470,,,1,0,1.85,,,,,,,
2/12/2019,,Shark Shock,SharkShock190211,Active,470,,,1,0,1.89,,,,,,,
2/12/2019,,Northern Lights,NorthernLights190211,Active,470,,,1,0,0,,,,,,,
2/12/2019,,Grape Lime Ricky,GrapeRicky190211,Active,470,,,1,0,0,,,,,,,
2/12/2019,,Qush #12,Qush#12190211,Active,470,,,1,0,0,,,,,,,
2/12/2019,,Locomotion #6,Locomotion#6190211,Active,470,,,1,0,0,,,,,,,
2/12/2019,,Purple Apollo,PurpleApollo190211,Active,470,,,1,0,0,,,,,,,
2/12/2019,10:52,Space Candy,SpaceCandy190129,Complete,470,-0.2,9.8,6,8,1.01,0.9,120,7:45,1.01,None,,
2/12/2019,11:02,Northern Lights,NorthernLights190128,Complete,470,-0.32,9.68,7,8,1.47,1.28,120,7:34,1.47,None,,
2/12/2019,11:13,Shark Shock,SharkShock190128,Active,470,0.38,10.38,7,8,1.29,1.17,120,9:17,1.29,None,,
2/12/2019,11:23,ACDC,ACDC190128,Active,470,-0.55,9.45,7,8,1.19,1.07,120,6:35,1.19,None,,
2/12/2019,11:31,Chem OG,ChemOG190128,Active,470,-0.53,9.47,7,8,1.28,1.06,120,7:07,1.28,None,,
2/12/2019,11:42,Jilly Bean,JillyBean190128,Active,470,0.19,10.19,11,3,1.15,1.07,120,7:12,1.15,None,,
2/12/2019,11:50,Cosmic Glue,CosmicGlue190129,Active,470,0.05,10.05,11,3,1.35,1.27,120,7:41,1.35,None,,
2/12/2019,11:59,Jesus OG,JesusOG190129 ,Active,470,-1.81,8.19,11,3,1.42,1.28,120,6:27,1.42,None,,Blue - TRABIN
2/12/2019,12:09,Jesus OG,JesusOG190129 ,Active,470,0.33,10.33,11,3,1.17,0.99,120,7:33,1.17,None,,Orange - SPORE
2/12/2019,12:17,Jesus OG,JesusOG190129 ,Active,470,0.14,10.14,11,3,1.25,1.12,120,7:38,1.25,None,,Yellow - TRIFECTA
